first_name,second_name,web_name,team,minutes,goals_scored,assists,clean_sheets,total_points,form,ict_index,influence,creativity,threat,now_cost,selected_by_percent
Jack,Henry-Francis,Jack Henry-Francis,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Brayden,Clarke,Clarke,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Leon,Bailey,Bailey,2,1132,1,2,2,47,0.0,70.3,146.4,235.8,325.0,62,0.8
Ross,Barkley,Barkley,2,567,3,1,1,44,0.0,54.8,215.4,128.1,206.0,52,0.2
Enzo,Barrenechea,Barrenechea,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,49,0.0
Emiliano,Buendía Stati,Buendia,2,89,0,0,0,11,0.0,5.2,16.4,23.2,16.0,51,0.1
Matty,Cash,Cash,2,2069,1,1,7,76,0.0,71.3,359.2,181.0,171.0,44,1.6
Leander,Dendoncker,Dendoncker,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.2
Moussa,Diaby,Diaby,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,65,0.0
Diego Carlos,Santos Silva,Diego Carlos,2,828,0,0,2,21,0.0,21.5,150.6,9.2,54.0,45,0.3
Lucas,Digne,Digne,2,2348,0,5,6,89,0.0,120.7,512.6,583.9,112.0,44,5.6
Lewis,Dobbin,Dobbin,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50,0.0
Jhon,Durán,Duran,2,622,7,0,2,53,0.0,67.5,273.8,68.9,334.0,57,1.6
Joe,Gauci,Gauci,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.5
Kortney,Hause,Hause,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39,0.5
Samuel,Iling-Junior,Iling Jr,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54,0.0
Boubacar,Kamara,Kamara,2,1720,1,0,6,57,0.0,60.2,326.6,191.0,83.0,50,0.1
Kaine,Kesler-Hayden,Kesler-Hayden,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Ezri,Konsa Ngoyo,Konsa,2,2936,2,0,8,103,0.0,82.4,532.8,123.9,166.0,45,9.5
Ian,Maatsen,Maatsen,2,1125,1,2,3,57,0.0,74.3,252.0,293.4,197.0,45,1.6
Filip,Marschall,Marschall,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Emiliano,Martínez Romero,Martinez,2,3195,0,0,8,111,0.0,86.0,839.6,20.0,0.0,50,13.3
